Review_Title,Review_Date,Type_of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Ground_Service,Value_For_Money,Recommended
"""oversold tickets on our flight""",22nd October 2024,Family Leisure,Economy Class,Geneva to London,September 2024,,,1.0,1,0
“Appalling service”,14th October 2024,Business,Business Class,Johannesburg to London,October 2024,2.0,1.0,1.0,1,0
“BA’s petty penny pinching ”,12th October 2024,Business,Business Class,London to Mexico City,October 2024,1.0,5.0,2.0,3,1
“British arrogance with no manners”,12th October 2024,Couple Leisure,Business Class,Berlin to London Heathrow,October 2024,1.0,1.0,2.0,1,0
"""Terrible customer service""",12th October 2024,Couple Leisure,Business Class,London Heathrow to Philadelphia,September 2024,1.0,1.0,1.0,1,0
“left much to be desired”,9th October 2024,Solo Leisure,Economy Class,Johannesburg to New York City via Heathrow,October 2024,5.0,4.0,3.0,2,0
"""crew were all very friendly""",8th October 2024,Solo Leisure,Premium Economy,New York JFK to London Heathrow,October 2024,5.0,5.0,5.0,4,1
"""Simply not good enough""",6th October 2024,Solo Leisure,Business Class,Antalya to Gatwick,October 2024,1.0,2.0,2.0,2,0
“BA refuses to reimburse us”,5th October 2024,Couple Leisure,Economy Class,London to Lisbon,September 2024,3.0,2.0,1.0,2,0
"""my luggage is missing""",4th October 2024,Solo Leisure,Economy Class,Edinburgh to Delhi via London,September 2024,1.0,1.0,1.0,1,0
"""work is needed to provide a better customer experience""",28th September 2024,Solo Leisure,Premium Economy,London to Vancouver,September 2024,4.0,5.0,3.0,2,1
"""barely a step above low cost airlines""",25th September 2024,Business,Economy Class,Gatwick to Amsterdam,September 2024,3.0,4.0,3.0,1,0
"""Happy with the flight crew""",24th September 2024,Solo Leisure,Economy Class,Paris to San Diego via London,September 2024,5.0,5.0,5.0,5,1
"""seats are super uncomfortable""",22nd September 2024,Business,Business Class,Marrakech to Gatwick,September 2024,1.0,,1.0,1,0
"""very disappointed""",13th September 2024,Family Leisure,Economy Class,Amsterdam to Pittsburgh via London,September 2024,2.0,2.0,1.0,1,0
"""happily recommend and use BA""",13th September 2024,Couple Leisure,Economy Class,Heathrow to Berlin,July 2024,3.0,4.0,4.0,3,1
"""cannot get compensation for our flight""",13th September 2024,Couple Leisure,Economy Class,Manchester to Seattle via London,May 2024,,,1.0,1,0
“Crew very friendly and attentive”,11th September 2024,Couple Leisure,Business Class,London Heathrow to Nashville,August 2024,4.0,4.0,2.0,3,1
"""A nightmare journey""",8th September 2024,Couple Leisure,Economy Class,London to Venice,September 2024,2.0,3.0,1.0,1,0
“One gets better service in McDonalds”,6th September 2024,Business,First Class,London Heathrow to Chicago,August 2024,1.0,1.0,1.0,1,0
"“shocking food, service, exorbitant prices”",2nd September 2024,Couple Leisure,Business Class,London to Crete,September 2024,2.0,1.0,2.0,2,0
"""delayed with no explanation""",1st September 2024,Business,Business Class,Berlin to London,August 2024,3.0,1.0,1.0,1,0
"""Sound food and drink offered""",30th August 2024,Family Leisure,Business Class,London to Toronto,August 2024,4.0,4.0,4.0,4,1
"“beyond appalled, hurt and frustrated”",28th August 2024,Solo Leisure,Economy Class,London to Denver,August 2024,1.0,1.0,1.0,1,0
"""experience was overall very poor""",28th August 2024,Family Leisure,Business Class,London to Hong Kong via Doha,July 2024,4.0,1.0,1.0,1,0
“the entire travel was cancelled”,27th August 2024,Business,Business Class,San Diego to Athens,August 2024,,,,1,0
“service offered was exceptional”,26th August 2024,Solo Leisure,First Class,Manchester to Newark via London,August 2024,5.0,5.0,4.0,5,1
"""No meal served""",26th August 2024,Solo Leisure,Economy Class,Gatwick to Dalaman,August 2024,4.0,2.0,1.0,1,0
“no response to complaint”,25th August 2024,Family Leisure,Economy Class,London to Ibiza,August 2024,1.0,1.0,1.0,1,0
“cabin crew are brilliant”,25th August 2024,Solo Leisure,Economy Class,London Heathrow to Barcelona,August 2024,4.0,5.0,4.0,4,1
"""may never see your refund""",22nd August 2024,Solo Leisure,Economy Class,Anchorage to Johannesburg via Seattle / London,January 2024,3.0,5.0,5.0,1,0
“failed to enjoy business class”,21st August 2024,Solo Leisure,Business Class,London to Boston,August 2024,2.0,5.0,4.0,2,0
"“somewhere below easyJet, above Ryanair”",21st August 2024,Business,Economy Class,London Heathrow to Nairobi,August 2024,2.0,3.0,1.0,1,0
"""zero response from BA to reimburse us""",18th August 2024,Family Leisure,Economy Class,,July 2024,1.0,1.0,1.0,1,0
"""no acknowledgment or resolution""",15th August 2024,Solo Leisure,Economy Class,London to Basel,June 2024,1.0,1.0,1.0,1,0
"""Outstanding service""",12th August 2024,Solo Leisure,Business Class,Vancouver to London,July 2024,5.0,5.0,4.0,4,1
"""the crew were fabulous""",12th August 2024,Solo Leisure,Economy Class,London to Amman,August 2024,3.0,5.0,4.0,4,1
“customer service has been horrible”,11th August 2024,Family Leisure,Economy Class,Barcelona to Dallas via Heathrow,August 2024,3.0,4.0,2.0,3,0
"""Not as much as an apology""",9th August 2024,Family Leisure,Economy Class,London to Hong Kong,August 2024,1.0,,1.0,1,0
"""no one attending or caring""",8th August 2024,Couple Leisure,Economy Class,Dallas to London,May 2024,2.0,2.0,2.0,2,0
“disappointed in British Airways”,8th August 2024,Family Leisure,Economy Class,London to Tampa,August 2024,1.0,1.0,3.0,1,0
"""easy and enjoyable flight""",7th August 2024,Couple Leisure,Economy Class,Dublin to London City,July 2024,4.0,4.0,4.0,4,1
"""Crew were amazing and attentive""",7th August 2024,Solo Leisure,Business Class,Riga to London,August 2024,4.0,5.0,4.0,5,1
