Review_Title,Review_Date,Type_of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Ground_Service,Value_For_Money,Recommended
"""Service was fantastic""",10th December 2023,Solo Leisure,Economy Class,London Heathrow to Singapore,December 2023,3.0,5.0,4.0,5,1
"""it was a very nice flight""",10th December 2023,Solo Leisure,Business Class,Gatwick to Las Palmas,December 2023,3.0,4.0,3.0,5,1
"""onboard service was efficient""",9th December 2023,Couple Leisure,Economy Class,London Heathrow to Geneva,December 2023,4.0,5.0,5.0,5,1
“Lots of stress”,6th December 2023,Solo Leisure,Economy Class,Madrid to San Francisco via London Heathrow,November 2023,5.0,5.0,1.0,1,0
"""did not offer a wheelchair""",5th December 2023,Couple Leisure,Economy Class,Lisbon to London Heathrow,November 2023,1.0,1.0,1.0,1,0
“Seat was fine but product ageing”,4th December 2023,Couple Leisure,Business Class,Miami to London Heathrow,November 2023,4.0,3.0,4.0,3,1
"""such a terrible customer experience""",3rd December 2023,Family Leisure,Economy Class,Palma de Mallorca to Gatwick,December 2023,1.0,1.0,1.0,1,0
"""I was pleasantly surprised""",30th November 2023,Solo Leisure,Economy Class,London to Johannesburg,November 2023,2.0,3.0,4.0,3,1
"""Buckle up, folks; this one's a rollercoaster""",26th November 2023,Family Leisure,Economy Class,Zürich to Tokyo Haneda via London,July 2023,1.0,1.0,1.0,1,0
"""cabin crew excellent""",23rd November 2023,Couple Leisure,First Class,London to Miami,November 2023,5.0,5.0,4.0,4,1
"""Service level far worse then Ryanair""",19th November 2023,Couple Leisure,Economy Class,London to Stuttgart,November 2023,1.0,1.0,1.0,1,0
"""do not upgrade members based on status""",19th November 2023,Business,Economy Class,Brussels to London,November 2023,2.0,3.0,1.0,2,0
"""Flight was smooth and quick""",16th November 2023,Couple Leisure,Business Class,London Heathrow to Dublin,November 2023,3.0,3.0,4.0,3,1
"""Absolutely hopeless airline""",16th November 2023,Couple Leisure,Economy Class,London to Dublin,December 2022,3.0,3.0,1.0,1,0
"""Customer Service is non existent""",14th November 2023,Couple Leisure,Economy Class,London to Lisbon,November 2023,1.0,1.0,1.0,1,0
"""I can’t imagine a worst airline""",12th November 2023,Solo Leisure,Economy Class,Bucharest to Manchester via London,September 2023,1.0,1.0,1.0,1,0
"""sufficient leg and arm room""",8th November 2023,Couple Leisure,Premium Economy,Manchester to Cape Town via London,November 2023,5.0,5.0,4.0,4,1
“crew were polite”,7th November 2023,Solo Leisure,Economy Class,Seville to London Gatwick,November 2023,3.0,3.0,3.0,3,1
"""Angry, disappointed, and unsatisfied""",5th November 2023,Family Leisure,Economy Class,London Heatrow to Atlanta,November 2023,4.0,5.0,3.0,5,1
"""BA now stands for Basic Airways""",5th November 2023,Couple Leisure,Economy Class,Gatwick to Antalya,October 2023,3.0,3.0,3.0,1,0
"""A totally unremarkable flight""",4th November 2023,Couple Leisure,Business Class,Dublin to London Heathrow,November 2023,3.0,3.0,4.0,3,1
“BA clearly does not care”,31st October 2023,Couple Leisure,Economy Class,Anchorage to Heathrow via Barcelona,October 2023,3.0,3.0,1.0,1,0
"""reflect a downward trend of the airline""",28th October 2023,Solo Leisure,Economy Class,London Heathrow to Gibraltar,October 2023,3.0,1.0,3.0,2,0
"""One of my better flights""",24th October 2023,Couple Leisure,Economy Class,London to Philadelphia,October 2023,4.0,5.0,5.0,5,1
"""I would still recommend BA""",23rd October 2023,Business,Economy Class,London Heathrow to Cairo,October 2023,3.0,5.0,5.0,2,1
"""the worst experience ever""",22nd October 2023,Couple Leisure,Economy Class,Seattle to Porto via Heathrow,October 2023,2.0,3.0,1.0,1,0
"""an exceptional crew member""",22nd October 2023,Couple Leisure,Economy Class,Malta to London Gatwick,October 2023,4.0,5.0,4.0,4,1
"""even Ryanair have more space""",21st October 2023,Solo Leisure,Economy Class,London to Amsterdam,October 2023,1.0,3.0,2.0,1,0
"""in-flight service is usually weak""",21st October 2023,Solo Leisure,Economy Class,San Francisco to London,October 2023,3.0,2.0,2.0,3,0
"""BA customer service is a disgrace""",19th October 2023,Solo Leisure,Business Class,İstanbul to London,October 2023,2.0,1.0,2.0,1,0
"""little concern for customer service""",19th October 2023,Couple Leisure,Economy Class,London to Austin,October 2023,1.0,1.0,1.0,1,0
"""gave up being a full-service airline""",17th October 2023,Solo Leisure,Economy Class,Geneva to London Heathrow,October 2023,1.0,2.0,1.0,2,0
“I hate British Airways!”,17th October 2023,Couple Leisure,Economy Class,Istanbul via London,October 2023,1.0,3.0,1.0,1,0
"""2½ hours before the bags finally arrived""",16th October 2023,Couple Leisure,Business Class,Porto to London,September 2023,4.0,5.0,1.0,4,0
"""left on your own and nobody cares""",14th October 2023,Solo Leisure,Economy Class,London Heathrow to Geneva,October 2023,2.0,4.0,1.0,4,0
"""Club Europe is simply a joke""",14th October 2023,Business,Business Class,London to Istanbul,October 2023,3.0,4.0,3.0,2,0
"""Very second rate shoddy airline""",12th October 2023,Couple Leisure,Economy Class,London Gatwick to Punta Cana,October 2023,3.0,3.0,2.0,2,0
"""some sort of medieval torture""",12th October 2023,Solo Leisure,Business Class,London to Hong Kong,July 2023,1.0,5.0,5.0,1,0
"""Never again BA""",11th October 2023,Couple Leisure,Economy Class,Catania to Gatwick,October 2023,1.0,1.0,1.0,1,0
"""BA Gatwick are not BA""",11th October 2023,Couple Leisure,Economy Class,Gatwick to Venice,September 2023,,,1.0,1,0
"""Boarding flight took an hour""",10th October 2023,Solo Leisure,Economy Class,Berlin to London,October 2023,3.0,1.0,1.0,1,0
"""our luggage was soaking wet""",8th October 2023,Couple Leisure,Economy Class,Atlanta to Glasgow via London,September 2023,3.0,3.0,1.0,3,0
"""The worst airline I have ever flown""",7th October 2023,Couple Leisure,Economy Class,Singapore to Sydney,October 2023,1.0,1.0,1.0,1,0
"""Excellent service levels""",7th October 2023,Solo Leisure,First Class,London to New York JFK,October 2023,5.0,5.0,5.0,5,1
"""British Airways was absolutely shocking""",5th October 2023,Couple Leisure,Business Class,Heathrow to Marseille,August 2023,1.0,1.0,1.0,1,0
"""service was mediocre at best""",3rd October 2023,Couple Leisure,Economy Class,Chicago to Manchester via Heathrow,October 2023,2.0,3.0,2.0,2,0
"""BA standards continue to decline""",2nd October 2023,Business,Business Class,London Heathrow to Munich,September 2023,2.0,1.0,1.0,1,0
"""won the race to the bottom""",2nd October 2023,Couple Leisure,Business Class,Heathrow to Istanbul,September 2023,2.0,3.0,1.0,1,0
"""Not a reliable airline""",2nd October 2023,Business,Economy Class,London to Geneva,October 2023,4.0,4.0,1.0,1,0
"""It is a national disgrace""",30th September 2023,Couple Leisure,Business Class,Athens to London,September 2023,1.0,1.0,1.0,1,0
"""The worst journey in my life""",30th September 2023,Business,Economy Class,Milan to San Jose via London,September 2023,3.0,3.0,1.0,1,0
"""Very disappointed""",28th September 2023,Couple Leisure,First Class,Dallas to Dubrovnik via Heathrow,September 2023,1.0,4.0,3.0,2,0
"""the service was shockingly bad""",28th September 2023,Business,Business Class,London to Seville,September 2023,2.0,1.0,1.0,1,0
"""Never again will I fly BA""",27th September 2023,Couple Leisure,Economy Class,London Heathrow to Tokyo,September 2023,1.0,1.0,2.0,1,0
"""never fly this awful airline again""",23rd September 2023,Solo Leisure,Business Class,Miami to Dublin via London Heathrow,August 2023,1.0,3.0,1.0,1,0
"""I’ll never fly with them again""",22nd September 2023,Business,Business Class,Prague to San Francisco via London,September 2023,1.0,3.0,1.0,1,0
"""the worst of the worst""",22nd September 2023,Business,Economy Class,London to Glasgow,September 2023,1.0,1.0,1.0,1,0
"""everyone refused to help us""",20th September 2023,Family Leisure,Economy Class,San Diego to Marseille via London,August 2023,3.0,2.0,1.0,3,0
"""not a single feedback from British Airways""",20th September 2023,Business,Premium Economy,Hamburg to Las Vegas via London,August 2023,2.0,2.0,1.0,1,0
"""never fly British Airways again""",19th September 2023,Family Leisure,Economy Class,London to Los Angeles,July 2023,,,,1,0
"""Club Europe doesn’t feel very premium""",18th September 2023,Couple Leisure,Business Class,London Heathrow to Porto,September 2023,3.0,4.0,4.0,4,1
"""the worst airline in the UK""",16th September 2023,Couple Leisure,Economy Class,London to Dalaman,September 2023,,,3.0,1,0
"""Worst BA experience""",15th September 2023,Solo Leisure,Economy Class,Johannesburg to Milan via London,September 2023,,,,2,0
"""the worst airline service""",13th September 2023,Business,Business Class,Madrid to Vancouver via London,April 2023,3.0,3.0,1.0,1,0
"""service on board was impeccable""",11th September 2023,Couple Leisure,Business Class,London to Santiago,September 2023,3.0,5.0,2.0,5,1
"""a national disgrace""",10th September 2023,Couple Leisure,Business Class,London Heathrow to Faro,September 2023,,,1.0,1,0
"""The worst service ever""",9th September 2023,Solo Leisure,Economy Class,Kuwait to Lisbon via London,September 2023,3.0,1.0,3.0,3,0
"""Cannot recommend""",6th September 2023,Couple Leisure,Economy Class,London to Munich,September 2023,1.0,3.0,1.0,1,0
"""BA is worse than a low cost carrier""",4th September 2023,Solo Leisure,Economy Class,Frankfurt to London City,September 2023,1.0,,1.0,1,0
"""less than a premium experience""",4th September 2023,Couple Leisure,Business Class,London to Keflavik,August 2023,3.0,4.0,4.0,4,1
"""good, but not spectacular""",4th September 2023,Couple Leisure,Business Class,Mumbai to London,August 2023,4.0,3.0,4.0,4,1
"""Lies and misleading unprofessional service""",4th September 2023,Business,Premium Economy,Houston to London Heathrow,September 2023,2.0,4.0,4.0,1,0
"""avoid BA like the plague""",2nd September 2023,Solo Leisure,Business Class,London to Miami,September 2023,1.0,1.0,3.0,1,0
"""British Airways absolutely does not care""",1st September 2023,,Economy Class,Los Angeles to London,August 2023,1.0,1.0,1.0,1,0
"""utter abdication of responsibility""",1st September 2023,Couple Leisure,Economy Class,New York JFK to Malaga via London,June 2023,1.0,3.0,1.0,1,0
"""express our displeasure and concerns""",31st August 2023,Couple Leisure,Premium Economy,Chicago to Rome via London,July 2023,3.0,1.0,1.0,1,0
"""they are the worst in Europe""",30th August 2023,Solo Leisure,Business Class,London to Malaga,August 2023,1.0,1.0,1.0,1,0
"""customer service being so horrible""",30th August 2023,Solo Leisure,Economy Class,Frankfurt to London Heathrow,August 2023,1.0,1.0,1.0,1,0
"""appalling customer service""",28th August 2023,Couple Leisure,Business Class,Tenerife to Gatwick,August 2023,1.0,3.0,1.0,1,0
"""standards are worse than ever""",27th August 2023,Business,Business Class,London Heathrow to Malaga,August 2023,2.0,2.0,1.0,2,0
"""still waiting for reimbursement""",27th August 2023,Couple Leisure,Economy Class,Newark to London,June 2023,,,,1,0
"""unprofessional, uncaring""",27th August 2023,Business,Business Class,London to Johannesburg,August 2023,3.0,2.0,2.0,1,0
"""Nice flight, good crew, very good seat""",26th August 2023,Couple Leisure,Business Class,LHR to LAX,August 2023,4.0,5.0,5.0,4,1
"""Such a horrible experience""",26th August 2023,Family Leisure,Economy Class,Delhi to Vancouver via London,December 2022,1.0,1.0,1.0,1,0
"""Never again, BA""",25th August 2023,Solo Leisure,Economy Class,Copenhagen to London,June 2023,,,,1,0
"""ravioli pasta had dried out""",24th August 2023,Solo Leisure,Business Class,Larnaca to London Heathrow,July 2023,3.0,3.0,3.0,1,1
"""Great customer service""",19th August 2023,Family Leisure,Economy Class,Washington to London,August 2023,4.0,5.0,1.0,4,1
"""Cabin crew were all fantastic""",13th August 2023,Family Leisure,Business Class,London to Miami,August 2023,4.0,5.0,4.0,4,1
"""asked us to check our bags""",12th August 2023,Family Leisure,Economy Class,London to Paris,August 2023,1.0,1.0,1.0,1,0
"""service is extremely poor""",11th August 2023,Family Leisure,Economy Class,London to Algiers,August 2023,1.0,1.0,1.0,1,0
"""superior to mainline British Airways""",8th August 2023,Couple Leisure,Economy Class,Edinburgh to London City,July 2023,4.0,4.0,5.0,5,1
"""Staff quite unpleasant""",8th August 2023,Solo Leisure,Economy Class,London to Vienna,August 2023,3.0,3.0,1.0,2,0
"""They lost my baggage""",8th August 2023,Business,Economy Class,San Francisco to Warsaw via London,July 2023,3.0,5.0,1.0,1,0
"""leaving two hours late""",5th August 2023,Business,Economy Class,Frankfurt to London City,August 2023,3.0,3.0,1.0,1,0
"""flight is delayed""",4th August 2023,Solo Leisure,Economy Class,London to Lyon,August 2023,,,1.0,1,0
"""Couldn't recommend BA more""",1st August 2023,Solo Leisure,Business Class,London to Hong Kong,July 2023,5.0,5.0,5.0,5,1
"""bumped off due to overselling""",31st July 2023,Couple Leisure,Economy Class,Gatwick to Montpelier,July 2023,3.0,3.0,1.0,1,0
"""a very comfortable flight""",31st July 2023,Couple Leisure,Business Class,London to Mumbai,July 2023,4.0,5.0,4.0,4,1
"""good onboard service""",31st July 2023,Couple Leisure,Business Class,Keflavik  to London,July 2023,3.0,5.0,2.0,3,1
"""they have really gone downhill""",29th July 2023,Solo Leisure,Economy Class,Gibraltar to London Heathrow,May 2023,1.0,1.0,1.0,1,0
"""lives in their past glory""",26th July 2023,Family Leisure,Business Class,Madrid to London,July 2023,1.0,1.0,1.0,1,0
"""Check-in Desk rude and dismissive""",26th July 2023,Family Leisure,Economy Class,Rhodes to Gatwick,July 2023,2.0,3.0,1.0,2,0
"""All in all, terrible""",25th July 2023,Family Leisure,Economy Class,Barcelona to London,July 2023,1.0,4.0,1.0,1,0
"""cancelled the rebooked flight""",24th July 2023,Couple Leisure,Premium Economy,Inverness to Los Angeles via London,November 2022,,,,1,0
"""Zero empathy was shown""",21st July 2023,Couple Leisure,Economy Class,London City Airport to Frankfurt,July 2023,3.0,3.0,1.0,1,0
"""pilot apologise at every step of the way""",21st July 2023,Business,Economy Class,Amsterdam to London City,July 2023,3.0,4.0,1.0,2,0
"""crew were always ready to top up drinks""",20th July 2023,Couple Leisure,Business Class,Dalaman to Gatwick,June 2023,3.0,5.0,5.0,3,0
"""The service is really mediocre""",20th July 2023,Solo Leisure,Economy Class,Seattle to London Heathrow,June 2023,2.0,2.0,3.0,3,0
"""made their economy experience so miserable""",20th July 2023,Couple Leisure,Economy Class,Gatwick to Dalaman,June 2023,1.0,1.0,1.0,1,0
"""Customer Service does not exist""",18th July 2023,Family Leisure,Business Class,London to Rhodes,July 2023,1.0,1.0,1.0,1,0
"""another great experience""",17th July 2023,Family Leisure,Business Class,Newcastle to Las Vegas via Heathrow,June 2023,4.0,5.0,4.0,4,1
"""Not recommended""",17th July 2023,Solo Leisure,Business Class,London to Miami,June 2023,1.0,1.0,1.0,1,0
"""5 hours and 30 mins but no meal""",16th July 2023,Solo Leisure,Economy Class,Amman to London,July 2023,3.0,1.0,4.0,3,0
"""Things have really deteriorated""",9th July 2023,Couple Leisure,Premium Economy,Chennai to London,July 2023,3.0,2.0,4.0,1,0
"""I will never fly this airline again""",9th July 2023,Couple Leisure,Economy Class,Istanbul to London,July 2023,2.0,2.0,1.0,1,0
"""asked for an explanation but have received none""",8th July 2023,Solo Leisure,Economy Class,London to Edinburgh,November 2022,2.0,5.0,1.0,2,0
"""short-changing passengers""",6th July 2023,Family Leisure,Premium Economy,Kingston to London,June 2023,5.0,4.0,3.0,3,0
"""Economy is absolutely awful""",5th July 2023,Couple Leisure,Economy Class,London Heathrow to Cape Town,June 2023,1.0,3.0,3.0,2,0
"""Shocking customer service""",5th July 2023,Couple Leisure,Economy Class,London Heathrow to Ibiza,July 2023,,,1.0,1,0
"""no representative to help""",4th July 2023,Business,Business Class,Washington to London,June 2023,3.0,3.0,1.0,1,0
"""Boarding was chaotic""",3rd July 2023,Couple Leisure,Economy Class,London Heathrow to Naples,June 2023,1.0,4.0,2.0,2,0
"""In-line with competitors""",2nd July 2023,Solo Leisure,Economy Class,Berlin to London,July 2023,5.0,5.0,4.0,5,1
"""Luggage are still in Glasgow""",30th June 2023,Family Leisure,Economy Class,Glasgow to London,June 2023,1.0,1.0,1.0,1,0
"""whole experience was terrible""",29th June 2023,Solo Leisure,Economy Class,Dubai to Keflavik via London,May 2023,1.0,1.0,1.0,1,0
"""preferred to fly on easyJet""",29th June 2023,Couple Leisure,Economy Class,Cairo to London,June 2023,1.0,1.0,2.0,1,0
"""stated it is not their fault""",27th June 2023,Solo Leisure,Economy Class,London to Madrid,May 2023,3.0,3.0,1.0,1,0
"""luggage was mis-tagged in Dallas""",27th June 2023,Family Leisure,Economy Class,London to Cairo,June 2023,1.0,1.0,1.0,1,0
"""The airline lost my luggage""",25th June 2023,Solo Leisure,Economy Class,New Orleans to London,June 2023,3.0,3.0,1.0,1,0
"""fully refunded by our travel insurance""",25th June 2023,Couple Leisure,Business Class,London to Amman,March 2023,,,,1,0
"""no boarding drinks provided""",25th June 2023,Solo Leisure,Business Class,Heathrow to Bodrum,June 2023,1.0,1.0,1.0,1,0
"""WiFi didn't work""",24th June 2023,Solo Leisure,Economy Class,Amman to London,June 2023,1.0,3.0,2.0,2,0
"""stick with economy""",24th June 2023,Family Leisure,Business Class,London City to Ibiza,June 2023,3.0,5.0,3.0,3,1
"""Communication is terrible""",23rd June 2023,Couple Leisure,Economy Class,London to Washington,June 2023,1.0,1.0,1.0,1,0
"""delays and cancellations""",22nd June 2023,Business,Business Class,Amsterdam to London,June 2023,3.0,3.0,2.0,2,0
"""Economy class seating was truly dreadful""",20th June 2023,Couple Leisure,Economy Class,London Heathrow to Kalamata,June 2023,1.0,4.0,3.0,3,1
"""flight failed at every level""",20th June 2023,Couple Leisure,Economy Class,London to Funchal,June 2023,4.0,4.0,1.0,1,0
"""BA refuses to make it right""",19th June 2023,Family Leisure,Economy Class,Marseille to Seattle via London Heathrow,June 2023,2.0,3.0,1.0,1,0
"""shame for such well known airline""",19th June 2023,Solo Leisure,Business Class,Cairo to London,June 2023,1.0,3.0,1.0,1,0
"""Total garbage""",16th June 2023,Solo Leisure,Economy Class,Bucharest to Dallas via London,June 2023,2.0,4.0,1.0,1,0
"""arrived at the airport only 1 hour before""",13th June 2023,Family Leisure,Economy Class,Gatwick to Venice,June 2023,3.0,5.0,1.0,3,0
"""so callous and uncaring""",12th June 2023,Solo Leisure,Economy Class,Dublin to London City,June 2023,1.0,1.0,1.0,1,0
"""uncomfy old planes""",11th June 2023,Business,Business Class,Tokyo to Manchester via Heathrow,June 2023,1.0,1.0,1.0,1,0
"""never fly British Airway ever again""",11th June 2023,Solo Leisure,Economy Class,San Francisco to London,June 2023,,,1.0,1,0
"""Most uncomfortable flight""",10th June 2023,Family Leisure,Economy Class,Santiago to London,May 2023,1.0,2.0,4.0,1,0
"""I will never fly British Airways again""",8th June 2023,Couple Leisure,Economy Class,Seattle to Nice via London,June 2023,4.0,4.0,1.0,2,0
"""All in all very disappointing""",7th June 2023,Couple Leisure,Premium Economy,Sydney via Singapore to London Heathrow,March 2023,4.0,4.0,5.0,1,0
"""customer service was horrendous""",6th June 2023,Business,Economy Class,Seattle to Edinburgh via Heathrow,May 2023,2.0,4.0,2.0,2,0
"""All flights without exception were delayed""",6th June 2023,Solo Leisure,Economy Class,Athens to Durban via London Heathrow,April 2023,4.0,5.0,5.0,4,0
"""An excellent flight""",6th June 2023,Solo Leisure,Business Class,Vancouver to London Heathrow,May 2023,5.0,5.0,4.0,4,1
"""luggage was still in London""",5th June 2023,Family Leisure,Economy Class,Vancouver to Barcelona via London,May 2023,3.0,2.0,1.0,1,0
"""worst experience in all my years of travel""",3rd June 2023,Family Leisure,Economy Class,Boston to Cairo via London,June 2023,1.0,1.0,1.0,1,0
"""The worst experience""",3rd June 2023,Couple Leisure,Economy Class,London to Santorini,May 2023,1.0,1.0,1.0,1,0
"""haven’t received any reimbursement""",2nd June 2023,Family Leisure,Economy Class,Heathrow to Mumbai,February 2023,3.0,1.0,1.0,1,0
"""the crew has helped me""",1st June 2023,Solo Leisure,Economy Class,London to Larnaca,March 2023,5.0,5.0,5.0,5,1
"""check-in process was terrible""",30th May 2023,Family Leisure,Economy Class,Nice to London Heathrow,May 2023,1.0,1.0,1.0,1,0
"""the worst airline experience I've ever had to deal with""",29th May 2023,Solo Leisure,Economy Class,Las Vegas to Venice,May 2023,1.0,1.0,1.0,1,0
"""Service was good""",29th May 2023,Family Leisure,Premium Economy,London to New York,May 2023,4.0,4.0,4.0,4,1
"""Last time I will fly British Airways""",27th May 2023,Couple Leisure,Economy Class,Lisbon to London,May 2023,1.0,3.0,1.0,2,0
"""cancel your flight without notice""",23rd May 2023,Couple Leisure,Premium Economy,Dallas to Madrid via London,May 2023,1.0,1.0,1.0,1,0
"""flights changed with no cost""",23rd May 2023,Couple Leisure,Economy Class,London to Valencia,March 2023,4.0,4.0,5.0,4,1
"""Cheap, quick and efficient""",23rd May 2023,Solo Leisure,Economy Class,London to Glasgow,May 2023,5.0,5.0,5.0,5,1
"""the worst major European airline""",22nd May 2023,Business,Business Class,London Heathrow to Malaga,May 2023,2.0,2.0,1.0,1,0
"""do not think the fare was worth the money""",22nd May 2023,Couple Leisure,Business Class,London to Nice,May 2023,2.0,3.0,4.0,1,0
"""BA is on the skids downhill""",19th May 2023,Solo Leisure,Business Class,London to San Francisco,September 2022,3.0,1.0,2.0,2,0
"""Absolutely terrible experience""",17th May 2023,Solo Leisure,Economy Class,London to Dallas,April 2023,1.0,1.0,1.0,1,0
"""poor service and unhappy customers""",17th May 2023,Business,Economy Class,London to Madrid,May 2023,4.0,3.0,1.0,1,0
"""just won't use them again""",17th May 2023,Solo Leisure,Economy Class,London to Belfast,May 2023,1.0,3.0,1.0,1,0
"""Another bad show""",14th May 2023,Couple Leisure,Business Class,Los Angeles to London,May 2023,5.0,5.0,1.0,1,0
"""what an earth is going on at BA""",14th May 2023,Couple Leisure,Business Class,Atlanta to London,April 2023,4.0,3.0,1.0,1,0
"""I had to reschedule my flight""",13th May 2023,Couple Leisure,Business Class,,May 2023,,,,1,0
"""most appalling airline service""",8th May 2023,Solo Leisure,Business Class,Sydney to London via Singapore,May 2023,1.0,1.0,1.0,1,0
"""Customer service is shocking""",6th May 2023,Solo Leisure,Business Class,Heathrow to Faro,May 2023,1.0,1.0,1.0,1,0
"""Avoid this airline""",6th May 2023,Business,Economy Class,London to Barcelona,May 2023,,,1.0,1,0
"""a lot of actual lies being told""",1st May 2023,Business,Economy Class,New York to London,April 2023,4.0,3.0,1.0,1,0
"""premium price for very average service""",28th April 2023,Couple Leisure,Business Class,Singapore to London,April 2023,4.0,2.0,3.0,1,0
"""lack of customer service""",26th April 2023,Couple Leisure,Economy Class,Sweden to Los Angeles via London,January 2023,3.0,3.0,3.0,1,0
"""Overall not a good airline""",24th April 2023,Couple Leisure,Premium Economy,Seattle to Zagreb via London,April 2023,3.0,2.0,3.0,2,0
"""delayed and missed connecting flight""",24th April 2023,Family Leisure,Premium Economy,"Bangalore to Toronto via London,",April 2023,2.0,1.0,1.0,1,0
"""!not a good experience""",23rd April 2023,Family Leisure,Economy Class,London to Denver,February 2023,2.0,1.0,1.0,2,0
""" A very pleasant experience""",22nd April 2023,Solo Leisure,Premium Economy,London to Hong Kong,April 2023,4.0,5.0,4.0,4,1
"""It was a nightmare""",18th April 2023,Couple Leisure,Economy Class,Brussels to Los Angeles via London Heathrow,April 2023,1.0,4.0,1.0,1,0
"""Abysmal service""",18th April 2023,Couple Leisure,Economy Class,Copenhagen to London,April 2023,1.0,4.0,2.0,2,0
"""trained to give you the runaround""",17th April 2023,Family Leisure,Economy Class,London to Denver,March 2023,2.0,5.0,4.0,1,0
"""they only had one choice of meal""",17th April 2023,Solo Leisure,Economy Class,Hong Kong to London,April 2023,2.0,1.0,2.0,2,0
"""relentless BA cost cutting""",16th April 2023,Business,Business Class,Heathrow to Malaga,April 2023,3.0,3.0,3.0,2,0
"""I wouldn't recommend British Airways""",15th April 2023,Family Leisure,Economy Class,Santorini to Gatwick,March 2023,4.0,4.0,3.0,1,0
"""Absolutely horrible experience""",15th April 2023,Solo Leisure,Economy Class,Madrid to Belfast via London,January 2023,3.0,3.0,1.0,1,0
"""This is the worst airline""",14th April 2023,Business,Economy Class,Dublin to London,April 2023,1.0,1.0,1.0,1,0
"""never fly British Airways again""",13th April 2023,Couple Leisure,Business Class,London to Venice,March 2023,1.0,2.0,2.0,2,0
"""seats were cramped and uncomfortable""",12th April 2023,Couple Leisure,Economy Class,Las Vegas to London,April 2023,1.0,1.0,4.0,1,0
"""I enjoyed my flight""",11th April 2023,Solo Leisure,Business Class,Faro to Heathrow,April 2023,5.0,5.0,3.0,5,1
"""found the food menu rather odd""",10th April 2023,Couple Leisure,Business Class,London to Atlanta,April 2023,4.0,3.0,2.0,3,0
"""cover 50% of my new luggage""",9th April 2023,Couple Leisure,Economy Class,London to Copenhagen,April 2023,1.0,4.0,1.0,1,0
"""the worst flight of my life""",9th April 2023,Couple Leisure,Economy Class,London to Malta,April 2023,3.0,1.0,1.0,1,0
"""flight was pleasant enough""",9th April 2023,Couple Leisure,Economy Class,Belfast to London,April 2023,4.0,4.0,4.0,4,1
"""downright rude and abusive""",6th April 2023,Business,Premium Economy,London to Hong Kong,April 2023,2.0,2.0,4.0,3,0
"""disappointing staff""",6th April 2023,Family Leisure,Economy Class,Mumbai to Chicago via London,April 2023,4.0,1.0,1.0,1,0
"""crew could not give a damn""",5th April 2023,Business,Business Class,London to New York,April 2023,3.0,2.0,3.0,2,0
"""a very solid experience""",31st March 2023,Solo Leisure,Economy Class,Mumbai to London,March 2023,4.0,5.0,4.0,5,1
"""Service was impeccable""",30th March 2023,Couple Leisure,Business Class,Mexico City to Amsterdam via London,March 2023,4.0,5.0,4.0,5,1
"""Very poor service, very frustrating""",29th March 2023,Business,Economy Class,Barcelona to London,March 2023,3.0,3.0,3.0,1,0
"""Generally poor""",27th March 2023,Couple Leisure,Economy Class,London to Lanzarote,March 2023,3.0,2.0,2.0,3,0
"""changed our prepaid seats""",26th March 2023,Couple Leisure,Economy Class,Marrakech to London Heathrow,March 2023,1.0,1.0,1.0,1,0
"""airline is going downhill rapidly""",26th March 2023,Couple Leisure,Economy Class,London Heathrow to Marrakech,March 2023,1.0,3.0,1.0,1,0
"""made a complaint, nothing happened""",21st March 2023,Family Leisure,Economy Class,London to Algiers,May 2022,1.0,1.0,1.0,2,0
"""Every flight was delayed""",21st March 2023,Couple Leisure,Economy Class,Miami to Munich via London,March 2023,3.0,1.0,1.0,1,1
"""how far the quality level has slid""",20th March 2023,Business,Economy Class,New York to London,March 2023,1.0,1.0,2.0,2,0
"""worst cabin experience ever""",20th March 2023,Couple Leisure,Economy Class,Cairo to London,March 2023,1.0,4.0,4.0,2,0
"""Very impressive and efficient""",18th March 2023,Solo Leisure,Premium Economy,Mumbai to Nassau via London,March 2023,4.0,4.0,3.0,3,1
"""We are done with BA""",18th March 2023,Couple Leisure,First Class,Johannesburg to London,March 2023,4.0,5.0,1.0,2,0
"""I was left stranded at the airport""",17th March 2023,Solo Leisure,Economy Class,Munich to London Heathrow,March 2023,3.0,3.0,1.0,1,0
"""I will never fly with them again""",17th March 2023,Couple Leisure,Economy Class,Amsterdam to London,March 2023,1.0,,1.0,1,0
"""A catalogue of failures""",16th March 2023,Couple Leisure,Economy Class,Heathrow to Belfast City,March 2023,3.0,3.0,1.0,1,0
"""it's by no measure good""",15th March 2023,Couple Leisure,Economy Class,Gatwick to Dubrovnik,March 2023,1.0,3.0,5.0,5,1
"""Avoid unless you have no other option""",15th March 2023,Business,Economy Class,London Heathrow to Amsterdam,March 2023,2.0,1.0,1.0,1,0
"""pathetically inefficient""",15th March 2023,Solo Leisure,Economy Class,Zagreb to London Heathrow,March 2023,3.0,2.0,1.0,2,0
"""fallen far behind their competitors""",14th March 2023,Couple Leisure,Premium Economy,New York JFK to Heathrow,March 2023,1.0,2.0,3.0,1,0
"""one of the worst experiences""",13th March 2023,Solo Leisure,Economy Class,Dublin to Orlando via Heathrow,December 2022,1.0,1.0,1.0,1,0
"""a horror show of incompetence""",12th March 2023,Family Leisure,Economy Class,London Heathrow to Munich,March 2023,1.0,1.0,1.0,1,0
